speaker,timestamp,words,End Time
Lora Albright,01:23:27,"And the daughters went home to the other. And I'll never forget, we went down to a PTA and there. And I noticed these men come and got robbed, and they looked up, and I kind of laughed, I thought, because Raleigh didn't smoke and he didn't drink. And I thought, well, gee, what's going on? And they're out there. And they were saying, kill Mr..",01;23;43;09
Lora Albright,01:23:43,"All right. How come then, do you let your daughters, write checks on the family? And Raleigh said, you tell me this after he says, well, sure. And they said, well, how do you how do you do this? And Rose says, well, how do you know about it? What business about yours? Well, our kids are coming home and demanding the same things.",01;24;00;22
Lora Albright,01:24:00,"Well, Raleigh and so, we want to know, is it an allowance or how do you do this? Raleigh says no. He says the family has worked as a unit. And he says those children know exactly how that money is earned. And they all work with a willing. We don't have to ever scold or plead or anything about it.",01;24;21;06
Lora Albright,01:24:21,"When the family goes to work, they all work. The girls know exactly how that money is earned. And he said, if they're ever going to learn how to learn how to manage it, they'll never learn any younger. And he says, I think it's my place to. I said, oh Lord, it's too bad that we are doing whatever we're doing and not on the ranch.",01;24;40;17
Lora Albright,01:24:40,"And Raleigh says, well, it wouldn't work on the ranch either unless you were willing to, to share with it, you know, and I says, I, he says, I know that we are, well, blessed and the children are well adjusted and all this sort of thing, but it's because they know exactly when we get up at 4:00 about to work, they get up if we work until 10:00 at night, unless then he says, unless my wife sends them to bed, they they know exactly how well the fathers.",01;25;06;27
Lora Albright,01:25:06,"What I was grumbling, Raleigh said afterwards. He said, gee, I didn't know what to tell them except the truth. And I said, well, of course, of of, you know, but it's things like this that makes a difference. And as you say, I was so fortunate to run into Raleigh when I did, because I probably would have married Doctor Hall, and if I had what I'd been, I'd never been sure of myself because I never could have believed what he told me.",01;25;30;24
Lora Albright,01:25:30,"This has been a lesson to me too, as not to, I explain, but I never alibi because, why should you? I mean, everybody makes mistakes. If you make a mistake, well, why not say so?",01;25;44;10
Sam Schrager,01:25:44,"I'd like to talk a little bit about, the operation. The family operation, since you just started mentioning it. And it does sound awfully interesting to me. Did did Raleigh continue with the the families? Truck.",01;26;01;18
Lora Albright,01:26:01,"Gardening? Yes. Business? Yes, we did that until we got our kids. Then, as I said, we went into the turkey business because it was more lucrative. And as the children you see, the war came along, Sam, and took James this. Husky young oldest, our youngest one. We lost our first baby because I didn't know I was on the homestead, and I had Jeremy poisoning and I didn't know it.",01;26;26;09
Lora Albright,01:26:26,"And the baby poisoning or uremic poisoning is the, is the retention of the, urine, the the the acids in the urine and the the baby. He was a big baby. He was born prematurely, and he was blue as he could be because the heart never, never materialized. Because here I was, poisoning. I knew that I got awfully fat, but I thought this was just part of being pregnant.",01;26;51;25
Lora Albright,01:26:51,"If I'd been home where my grandmother was. But you see, I wasn't, honey. I was over here on a hillside, and I was doing the best I could was canning and doing all of these things, you know? And, the baby was born in the fall. And so I was. I thought that all girls probably had this. I didn't have sense enough to realize.",01;27;10;04
Lora Albright,01:27:10,"And there was no doctors. And when the doctor, when the I was the baby was caught prematurely, of course, and was born in my mother in laws and doctor Rothwell came down and he worked desperately to do with it and did a lot of things as a country doctor that like put him into hot and cold water and then manipulating his arms and his little legs.",01;27;33;29
Lora Albright,01:27:34,"I laid there on the bed and the doctor was working right here in the bedroom. You're seeing my mother and my mother in law. Rose to the occasion, bless her heart. And, had the hot water and the cold water and everything. That and Doctor Rockwell just worked with sweat for an hour and about an hour and a half, and the baby gave just one little squeak.",01;27;53;20
Lora Albright,01:27:53,"But, doctor was well, afterwards. And he and Raleigh then came in, too, because they had sent for him. He was in the field, you see, and I realized that there was something wrong because he was just as blue. The baby was just as blue as he could be. They hadn't been having the correct oxygen for a long time.",01;28;12;10
Lora Albright,01:28:12,"So, he's buried over on the homestead, and the doctor also says, now, don't don't have a funeral. And I suppose he expected this to go out and dig a hole in the garden and throw the baby in it. I don't know what he expected. And Raleigh came in, and I didn't know what Raleigh would expect either. After all, I had lived with him more than hardly a year, you know?",01;28;34;22
Lora Albright,01:28:34,"And the baby was born. And finally he says, honey, what will we do? He said, Paul Bright is going to make a casket for the baby. And so he went up. He was a carpenter and a real good carpenter. And so he made a little a little box with the lid and. All right, took, the new, David swears that she got for a dress, and she padded it all inside with the pattern, and they tacked it, and so did.",01;29;01;16
Lora Albright,01:29:01,"And, they, dressed the baby and had baby clothes, of course. And the dress, the baby and put him in there. And then my mother had come down in the meantime and, Raleigh took my mother and the and and his baby, his first baby in the casket, in the boat across the potlatch, along the hillside three quarters of a mile, and buried him under a big pine tree that was below the homestead cabin.",01;29;29;29
Lora Albright,01:29:29,"And that's where he's buried over there. And, mother, read the verses from the Bible, from memory. And Raleigh, put the baby in the casket in. His mother told me afterwards. Raleigh never could speak about it. It was awfully hard for him to do that. You kids don't have any children, do you? Not yet. Well, when you have a baby, you'll know that it's just.",01;29;53;18
Lora Albright,01:29:53,"It's just a special a baby that you have fathered and that your wife has carried into her heart for nine months. Is a real special person. So I was satisfied that, that that was fine. So mother read the services and Raleigh did the digging, and they covered the baby, and they got some big stones and put on it until we never did put a stone up.",01;30;16;27
Lora Albright,01:30:16,"But we did put a little bronze thing on the tree because he was buried in that big tree. So he's around the homestead. But it was a difficult thing. And I, I'm sure I could see Raleigh walking up and down. I was laying in on the outside, the tears running down his face, and he was so, I never could I never did find out whether he felt sorry for me or for his sorry for himself, or because they lost the baby.",01;30;44;15
Lora Albright,01:30:44,"It was a touchy thing for him for a long time, because he felt that he felt he had neglected me. You see that we hadn't had a doctor before. If they had a doctor, if there had been a doctor available, close enough. But I was getting ready to go to my grandmother's, you see, to have this baby. And so doctor Gore would be the, the doctor up there that we would have.",01;31;04;26
Lora Albright,01:31:04,"So we didn't have any from Lois, and it was too hard to come out. But Raleigh felt that he had let me down, see, and that that was what was worrying him. But, we named it. He was named Robert, and he's entered in the family legends, and we didn't have any pictures or anything of him, of course, but he was he weighed 9 pounds and had dark brown hair and was nice.",01;31;28;13
Lora Albright,01:31:28,"Fat baby, but just as blue as indigo. He died, so I didn't know other Raleigh. I could talk even to some children again, but we I did. I talked for everyone that I had first. He was just well okay, we would have one. So we had James and he was such a nice baby. And then we had to have a daughter.",01;31;48;28
Lora Albright,01:31:48,"So I talked him into the daughter. And you know, God's awfully good to me because we got Peggy Jane. Just what we ordered. Then about that time we bought this and we were building this house. You seen pictures and the house that we built over here because we lived in it. And, then I thought, well, gee whiz, they're nice, you know, but something could happen to them.",01;32;09;08
Lora Albright,01:32:09,"And. And then that kid must have talked. Raleigh. I said, well, why don't we have another baby? And he said, well, he said, aren't you satisfied? And I said, no. I said, now, look, we've got to have a boys bedroom and a girls bedroom, and two boys can sleep and two girls can sleep in the same room just as easily as not.",01;32;26;23
Lora Albright,01:32:26,"So God was good to me again. And we had another little girl and another little boy. Then I call it quits. And so, Rowland, we had the two boys and the two girls, and they are married now. And we had ten grandchildren, seven boys and three girls. And out of the seven boys and three girls, we had nine great grandchildren.",01;32;50;20
Lora Albright,01:32:50,"Oh, boys. Wasn't that something? No girls at all. The. All right, run the boys.",01;33;01;10
